ID,Station_Name,OS X,OS Y,Latitude,Longitude,Zone,Postcode,Zone_original
165,Drayton Green,516002,180998,51.51600413801540,-0.329611253,4,W13 0JX,4
166,Drayton Park,531426,185499,51.553078136383200,-0.105770199,2,N5 1NT,2
167,Dundonald Road,524741,170233,51.41739780912450,-0.20752711,3,SW19 3QJ,"3,4,5,6"
168,Ealing Broadway,517920,180915,51.51486148277940,-0.302010376,3,W5 2NU,3
169,Ealing Common,518963,180426,51.510248187933700,-0.287151413,3,W5 3LD,3
170,Earls Court,525457,178480,51.49135635619760,-0.194313807,1,SW5 9QA,"1,2"
171,Earlsfield,526081,173030,51.4422385,-0.187272687,3,SW18 4SW,3
172,East Acton,521656,181159,51.51626301045360,-0.248112221,2,W12 0BP,2
173,East Croydon,532904,165801,51.37571595390630,-0.091863496,5,CR0 1LF,5
174,East Dulwich,533449,175375,51.46162545364040,-0.080436571,2,SE22 8EF,2
175,East Finchley,527242,189204,51.58733228,-0.164743884,3,N2 0NW,3
176,East Ham,542373,184255,51.53924625194370,0.051516293480576200,3,E6 2JA,"3,4"
177,East India,538729,180753,51.50868401,-0.002370332,2,E14 9PS,"2,3"
178,East Putney,524387,174840,51.45887944035380,-0.210998232,2,SW15 6SN,"2,3"
179,Eastcote,511191,187627,51.57655117614090,-0.39682329,5,HA5 1QZ,5
180,Eden Park,537396,167598,51.390796061855000,-0.026669716,5,BR3 3HQ,5
181,Edgware,519527,192009,51.61422917451510,-0.275093662,5,HA8 7AW,5
182,Edgware Road,527026,181778,51.520645084536100,-0.17053955,1,W2 1DY,1
183,Edgware Road,527227,181711,51.519997771093400,-0.167668253,1,NW1 5DH,1
184,Edmonton Green,534273,193590,51.62511560436450,-0.061639019,4,N9 9DX,4
185,Elephant and Castle,531940,179144,51.49584922002920,-0.100738714,1,SE1 6LW,"1,2"
186,Elm Park,552446,185647,51.54912490990790,0.19725268428342700,6,RM12 4RW,6
187,Elmers End,535788,168389,51.39829103016250,-0.049463832,4,BR3 4EJ,4
188,Elmstead Woods,542247,170656,51.41708070663450,0.044229343,4,BR7 5EW,4
189,Elstree and Borehamwood,519098,196299,51.65287512084610,-0.279828615,6,WD6 3LS,6
190,Eltham,542690,174962,51.45566230922670,0.052329308,4,SE9 6UB,4
191,Elverson Road,537848,176243,51.468372165038500,-0.016816376,2,SE8 4LA,"2,3"
192,Embankment,530406,180380,51.50731229694680,-0.122367336,1,WC2N 6NS,1
193,Emerson Park,553971,187918,51.56911527219530,0.22022293719981100,6,RM11 2JR,6
194,Enfield Chase,532181,196607,51.65272196544720,-0.090704205,5,EN2 7AA,5
195,Enfield Lock,536437,198737,51.67084607825660,-0.02839107,6,EN3 6BW,6
196,Enfield Town,532970,196544,51.65196994515370,-0.079329922,5,EN1 1YB,5
197,Epping,546197,201552,51.69368635497800,0.11382555351421200,6,CM16 4HW,6
198,Epsom Downs,522805,159756,51.32365904938120,-0.238970223,6,KT17 4JX,6
199,Erith,551075,178096,51.48164796323430,0.17426129102681500,6,DA8 1TY,6
200,Essex Road,532114,184132,51.54063315566610,-0.096365525,2,N1 2SU,2
201,Euston,529587,182735,51.52866411,-0.133296471,1,NW1 2DU,1
202,Euston Square,529587,182735,51.52866411,-0.133296471,1,NW1 2BN,1
203,Ewell East,522571,162152,51.345243482663100,-0.241502998,6,KT17 1QR,6
204,Ewell West,521473,162654,51.34999072305870,-0.257089129,6,KT17 1TU,6
205,Fairlop,544902,190655,51.59610969417490,0.09059328,4,IG6 3HD,4
206,Falconwood,544498,175394,51.45908592772000,0.078509693,4,SE9 2RN,4
207,Farringdon,531585,181844,51.52019551919780,-0.104843061,1,EC1M 6BY,1
208,Feltham,510601,173298,51.44787850388710,-0.409824471,6,TW13 4BY,6
209,Fenchurch Street,533434,180932,51.511566579850800,-0.078554152,1,EC3M 4AJ,1
210,Fieldway,537665,163212,51.35131696970670,-0.024503265,3,CR0 0QA,"3,4,5,6"
211,Finchley Central,525232,190664,51.60090293685640,-0.193220635,4,N3 2RY,4
